@[ LOG ][2013-12-21 12:27:03:598]: 	Program start.
@[ERROR][2013-12-21 17:11:33:394]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:11:35:712]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:11:36:162]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:11:36:181]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:11:36:329]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:11:37:287]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:11:37:797]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:11:41:639]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:11:41:837]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:11:41:938]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:11:43:061]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:11:45:477]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:11:46:303]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:11:49:453]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:11:51:677]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:11:53:713]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:11:55:856]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:11:56:212]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:12:16:664]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:12:20:385]: 	java.sql.Statement executing Exception
@[ERROR][2013-12-21 17:12:20:385]: 	Data truncation: Data too long for column 'url' at row 16
@[ERROR][2013-12-21 17:12:38:478]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:12:40:833]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:12:41:341]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:12:42:051]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:12:45:763]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:12:45:904]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:12:46:836]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:12:48:010]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:13:08:951]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:13:09:440]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:13:10:682]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:13:14:024]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:13:16:591]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:13:16:789]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:13:16:921]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:13:17:502]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:13:17:817]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:13:18:261]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:13:22:785]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:13:22:988]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:13:23:773]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:13:24:230]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:13:26:913]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:13:27:435]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:13:30:759]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:13:33:340]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:13:36:096]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:13:37:606]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:13:38:687]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:13:43:705]: 	can not load URL. : http://www.amazon.com/dp/B00CU0NSCU	:HTTP error fetching URL
@[ERROR][2013-12-21 17:13:58:996]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:14:16:670]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:14:19:333]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:14:19:826]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:14:20:626]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:14:24:171]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:14:24:182]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:14:25:832]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:14:27:037]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:14:46:576]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:14:47:249]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:14:50:261]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:14:52:441]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:14:54:902]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:14:55:579]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:14:55:602]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:14:55:732]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:14:56:544]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:14:56:653]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:15:00:124]: 	can not load URL. : http://www.amazon.com/gp/seller/sell-your-stuff.html	:HTTP error fetching URL
@[ERROR][2013-12-21 17:15:01:219]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:15:01:343]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:15:01:690]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:15:02:422]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:15:05:015]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:15:05:995]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:15:09:139]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:15:11:934]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:15:13:720]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:15:15:627]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:15:16:141]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:15:27:403]: 	can not load URL. : http://www.amazon.com/Frustration-Free-Packaging/b?ie=UTF8&node=1289004011	:Read timed out
@[ERROR][2013-12-21 17:15:33:984]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:15:55:069]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:15:57:720]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:15:58:790]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:15:58:964]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:16:02:741]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:16:02:829]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:16:03:727]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:16:05:195]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:16:25:812]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:16:26:130]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:16:28:205]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:16:34:091]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:16:35:384]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:16:35:555]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:16:35:663]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:16:36:009]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:16:36:654]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:16:36:751]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:16:41:303]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:16:42:111]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:16:42:248]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:16:43:457]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:16:45:545]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:16:46:210]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:16:49:693]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:16:52:498]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:16:54:996]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:16:56:276]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:16:56:884]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:17:13:293]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:17:32:883]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:17:35:469]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:17:35:569]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:17:36:777]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:17:39:931]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:17:40:648]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:17:41:746]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:17:45:363]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:18:00:752]: 	can not load URL. : http://www.amazon.com/Team-Sports-Outdoors/b?ie=UTF8&node=706809011	:HTTP error fetching URL
@[ERROR][2013-12-21 17:18:03:765]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:18:03:905]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:18:05:335]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:18:09:443]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:18:11:947]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:18:12:228]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:18:12:348]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:18:12:682]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:18:13:328]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:18:13:465]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:18:18:086]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:18:18:557]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:18:18:994]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:18:19:286]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:18:22:209]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:18:23:087]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:18:26:884]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:18:28:478]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 17:18:30:810]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 17:18:33:495]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 17:18:34:091]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 17:18:52:256]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 17:18:57:072]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 17:19:15:650]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:19:18:216]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:19:18:401]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:19:19:492]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:19:23:509]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:19:23:678]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:19:24:822]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:19:26:607]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:19:47:051]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:19:48:050]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:19:49:768]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ LOG ][2013-12-21 17:46:45:818]: 	Program start.
@[ERROR][2013-12-21 17:47:21:605]: 	can not load URL. : http://www.amazon.com/gift-cards/b?ie=UTF8&node=2238192011	:Read timed out
@[ERROR][2013-12-21 17:48:04:118]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:48:07:008]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:48:08:154]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:48:08:704]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:48:13:686]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 17:48:14:045]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:48:15:387]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 17:48:16:009]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 17:48:39:044]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 17:48:39:847]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 17:48:43:758]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 17:48:46:789]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 17:48:50:264]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 17:48:50:595]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 17:48:50:945]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 17:48:51:015]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 17:48:52:541]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 17:48:53:224]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 17:48:58:178]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 17:48:58:492]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 17:48:58:521]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 17:48:59:546]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 17:49:03:171]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 17:49:04:327]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 17:49:08:131]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
